class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.0001,0.0017,0.0,0.01,0.0016,1600.0
1,Urban,1.3329,1.4311,8.03,8.62,0.0982,7.37
2,Vegetation,1.7896,1.767,10.78,10.64,-0.0226,-1.26
3,Water,13.1726,13.0203,79.35,78.43,-0.1523,-1.16
4,Barren,0.2158,0.2719,1.3,1.64,0.0561,26.0
5,Agriculture,0.0895,0.1085,0.54,0.65,0.019,21.23
