class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,8.3718,8.3697,95.71,95.69,-0.0021,-0.03
1,Urban,0.0,0.0,0.0,0.0,0.0,0.0
2,Vegetation,0.1497,0.1364,1.71,1.56,-0.0133,-8.88
3,Water,0.0,0.0,0.0,0.0,0.0,0.0
4,Barren,0.2253,0.2407,2.58,2.75,0.0154,6.84
5,Agriculture,0.0,0.0,0.0,0.0,0.0,0.0
