class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.1481,0.1073,5.42,3.93,-0.0408,-27.55
1,Urban,0.0,0.0,0.0,0.0,0.0,0.0
2,Vegetation,0.0,0.0,0.0,0.0,0.0,0.0
3,Water,2.5775,2.6245,94.35,96.07,0.047,1.82
4,Barren,0.0,0.0,0.0,0.0,0.0,0.0
5,Agriculture,0.0062,0.0,0.23,0.0,-0.0062,-100.0
