class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.4762,0.9941,3.48,7.27,0.5179,108.76
1,Urban,0.011,0.0003,0.08,0.0,-0.0107,-97.27
2,Vegetation,0.0325,0.0652,0.24,0.48,0.0327,100.62
3,Water,0.126,0.524,0.92,3.83,0.398,315.87
4,Barren,0.0466,0.0117,0.34,0.09,-0.0349,-74.89
5,Agriculture,12.9795,12.0765,94.94,88.33,-0.903,-6.96
