class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.1426,0.1578,0.71,0.78,0.0152,10.66
1,Urban,0.0002,0.0007,0.0,0.0,0.0005,250.0
2,Vegetation,17.5283,17.5541,87.19,87.32,0.0258,0.15
3,Water,1.9845,1.8459,9.87,9.18,-0.1386,-6.98
4,Barren,0.0004,0.0057,0.0,0.03,0.0053,1325.0
5,Agriculture,0.448,0.5398,2.23,2.69,0.0918,20.49
