class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.1888,0.2968,10.61,16.69,0.108,57.2
1,Urban,1.0091,0.4826,56.73,27.13,-0.5265,-52.18
2,Vegetation,0.0,0.0057,0.0,0.32,0.0057,0.0
3,Water,0.0,0.0,0.0,0.0,0.0,0.0
4,Barren,0.5808,0.9898,32.65,55.65,0.409,70.42
5,Agriculture,0.0,0.0038,0.0,0.21,0.0038,0.0
