class_id,class_name,t1_area_km2,t2_area_km2,t1_pct,t2_pct,change_km2,change_pct
0,Background,0.0135,0.0106,3.16,2.48,-0.0029,-21.48
1,Urban,0.0,0.0,0.0,0.0,0.0,0.0
2,Vegetation,0.0,0.0002,0.0,0.05,0.0002,0.0
3,Water,0.0039,0.0034,0.91,0.8,-0.0005,-12.82
4,Barren,0.0,0.0,0.0,0.0,0.0,0.0
5,Agriculture,0.4101,0.4133,95.93,96.68,0.0032,0.78
