epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,val_loss
,1e-05,0.0001,0,,
0,,,4,0.6362146139144897,
0,,,9,0.6019859910011292,
0,,,14,0.5073119401931763,
0,,,19,0.5539167523384094,
0,,,24,0.5154529213905334,
0,,,29,0.5999146103858948,
0,,,34,0.50426185131073,
0,,,39,0.5684651136398315,
0,,,44,0.5865381360054016,
0,,,49,0.5358308553695679,
0,,,54,0.3494125306606293,
0,,,59,0.5489917397499084,
0,,,64,0.42139700055122375,
0,,,69,0.40895718336105347,
0,,,74,0.5019040107727051,
0,,,79,0.5101445317268372,
0,,,84,0.3732903003692627,
0,,,89,0.3288781940937042,
0,,,94,0.4665631949901581,
0,,,99,0.4458942115306854,
0,,,104,0.45871439576148987,
0,,,109,0.4595869183540344,
0,,,114,0.4937092959880829,
0,,,119,0.2839624583721161,
0,,,124,0.4649082124233246,
0,,,129,0.4415944218635559,
0,,,134,0.48730406165122986,
0,,,139,0.4622515141963959,
0,,,144,0.3636559247970581,
0,,,149,0.3285103142261505,
0,,,154,0.45796632766723633,
0,,,159,0.37892672419548035,
0,,,164,0.508965253829956,
0,,,169,0.42798948287963867,
0,,,174,0.44016382098197937,
0,,,179,0.29419979453086853,
0,,,184,0.3598558008670807,
0,,,189,0.46541082859039307,
0,,,194,0.40494874119758606,
0,,,199,0.39888882637023926,
0,,,204,0.3660907447338104,
0,,,209,0.4043082594871521,
0,,,214,0.38331732153892517,
0,,,219,0.45639920234680176,
0,,,224,0.41055694222450256,
0,,,229,0.3694915473461151,
0,,,234,0.3785501718521118,
0,,,239,0.38652318716049194,
0,,,244,0.3105280101299286,
0,,,249,0.2585150897502899,
0,,,254,0.3463899493217468,
0,,,259,0.3097044825553894,
0,,,264,0.46441760659217834,
0,,,269,0.3848617374897003,
0,,,274,0.31596481800079346,
0,,,279,0.47201547026634216,
0,,,284,0.16733914613723755,
0,,,289,0.45289283990859985,
0,,,294,0.25907304883003235,
0,,,299,0.41559141874313354,
0,,,304,0.3802252411842346,
0,,,309,0.13833172619342804,
